BrickLink Item,Name,BrickLink Color ID,Color,Qty,Est. unit price (USD),Est. total (USD),LDraw part,Qty Lionhold,Qty Millbrook,Qty Ravencrag Keep,Qty Warriors & Weapons,Note
3068b,Tile 2 x 2 with Groove,88,Reddish Brown,1,0.060,0.06,3068b,0,0,1,0,
3068b,Tile 2 x 2 with Groove,15,Trans-Light Blue,8,0.078,0.62,3068b,6,0,2,0,
3068b,Tile 2 x 2 with Groove,3,Yellow,2,0.060,0.12,3068b,0,2,0,0,
60592,Window 1 x 2 x 2 without Sill,11,Black,2,0.120,0.24,60592,0,0,2,0,
60592,Window 1 x 2 x 2 without Sill,120,Dark Brown,2,0.180,0.36,60592,0,2,0,0,
60592,Window 1 x 2 x 2 without Sill,88,Reddish Brown,11,0.120,1.32,60592,0,11,0,0,
60592,Window 1 x 2 x 2 without Sill,1,White,2,0.120,0.24,60592,0,2,0,0,
30046,Window 1 x 2 x 2.667 Pane Lattice Diamond with Rounded Top,11,Black,32,0.300,9.60,30046,20,0,12,0,
30044,Window 1 x 2 x 2.667 with Rounded Top,11,Black,8,0.350,2.80,30044,0,0,8,0,
30044,Window 1 x 2 x 2.667 with Rounded Top,85,Dark Bluish Gray,4,0.350,1.40,30044,0,0,4,0,
30044,Window 1 x 2 x 2.667 with Rounded Top,86,Light Bluish Gray,11,0.350,3.85,30044,11,0,0,0,
30044,Window 1 x 2 x 2.667 with Rounded Top,1,White,9,0.350,3.15,30044,9,0,0,0,
